id,enrollee_id,gender,relevent_experience,education_level,major_discipline,experience,Training_Hours,Years_of_Experience,Relevant_Experience_Score
17180,9909,Other,No relevent experience,Graduate,Other,0.5,>80,<1,80.5
4946,17690,Female,Has relevent experience,Masters,Other,0.5,61-80,<1,17.0
8387,12683,Female,No relevent experience,Graduate,Other,0.5,20-40,<1,20.5
8256,15845,Male,Has relevent experience,Graduate,Other,0.5,20-40,<1,7.0
10988,16733,Male,Has relevent experience,Graduate,Other,0.5,20-40,<1,7.0
2252,32321,Male,Has relevent experience,Graduate,Other,0.5,<20,<1,2.0
11639,698,Female,Has relevent experience,Graduate,Other,1.0,>80,1-5,24.0
6739,20346,Female,Has relevent experience,Masters,Other,1.0,61-80,1-5,19.0
8057,25772,Male,Has relevent experience,Phd,Other,1.0,61-80,1-5,19.0
10503,28667,Male,No relevent experience,Graduate,Other,1.0,41-60,1-5,41.0
7667,18088,Male,No relevent experience,Graduate,Other,1.0,<20,1-5,1.0
6563,4276,Female,Has relevent experience,Graduate,Other,2.0,>80,1-5,24.0
3762,26185,Male,No relevent experience,Graduate,Other,2.0,41-60,1-5,41.0
13990,12792,Male,Has relevent experience,Graduate,Other,2.0,41-60,1-5,14.0
16366,24437,Male,Has relevent experience,Graduate,Other,2.0,41-60,1-5,14.0
5110,11590,Male,No relevent experience,Graduate,Other,2.0,41-60,1-5,41.0
15632,28010,Female,No relevent experience,Graduate,Other,2.0,20-40,1-5,21.0
18665,12073,Male,Has relevent experience,Graduate,Other,2.0,20-40,1-5,9.0
4070,7292,Male,Has relevent experience,Graduate,Other,2.0,<20,1-5,4.0
11267,1222,Female,Has relevent experience,Graduate,Other,3.0,>80,1-5,24.0
1563,13922,Male,Has relevent experience,Graduate,Other,3.0,61-80,1-5,19.0
11034,17988,Male,Has relevent experience,Graduate,Other,3.0,41-60,1-5,14.0
13688,7988,Male,Has relevent experience,Graduate,Other,3.0,41-60,1-5,14.0
15617,17945,Male,Has relevent experience,Graduate,Other,3.0,20-40,1-5,9.0
1260,27709,Male,Has relevent experience,Graduate,Other,3.0,20-40,1-5,9.0
16166,16603,Male,Has relevent experience,Graduate,Other,3.0,20-40,1-5,9.0
17412,3000,Male,Has relevent experience,Graduate,Other,3.0,<20,1-5,4.0
15456,8846,Female,No relevent experience,Graduate,Other,3.0,<20,1-5,1.0
14898,6302,Male,Has relevent experience,Graduate,Other,4.0,>80,1-5,24.0
17579,28185,Female,Has relevent experience,Graduate,Other,4.0,>80,1-5,24.0
18739,9019,Female,Has relevent experience,Graduate,Other,4.0,>80,1-5,24.0
2289,9468,Female,Has relevent experience,Masters,Other,4.0,41-60,1-5,14.0
11119,9486,Female,Has relevent experience,Graduate,Other,4.0,41-60,1-5,14.0
4451,29152,Male,Has relevent experience,Graduate,Other,4.0,41-60,1-5,14.0
1206,19030,Male,Has relevent experience,Graduate,Other,4.0,41-60,1-5,14.0
4239,32467,Male,Has relevent experience,Graduate,Other,4.0,41-60,1-5,14.0
1417,15775,Other,Has relevent experience,Graduate,Other,4.0,20-40,1-5,9.0
10594,6125,Female,Has relevent experience,Graduate,Other,4.0,20-40,1-5,9.0
17059,31265,Female,No relevent experience,Graduate,Other,4.0,20-40,1-5,21.0
13184,10978,Female,Has relevent experience,Graduate,Other,4.0,<20,1-5,4.0
2085,7221,Male,Has relevent experience,Graduate,Other,4.0,<20,1-5,4.0
15102,13028,Male,No relevent experience,Graduate,Other,5.0,>80,6-10,82.0
5895,11805,Male,No relevent experience,Masters,Other,5.0,>80,6-10,82.0
435,28080,Other,Has relevent experience,Graduate,Other,5.0,>80,6-10,28.0
7428,9775,Male,Has relevent experience,Graduate,Other,5.0,20-40,6-10,13.0
14106,17049,Female,Has relevent experience,Masters,Other,5.0,20-40,6-10,13.0
1039,30970,Male,Has relevent experience,Graduate,Other,5.0,20-40,6-10,13.0
5779,18042,Male,Has relevent experience,Graduate,Other,5.0,<20,6-10,8.0
5124,16139,Male,Has relevent experience,Graduate,Other,5.0,<20,6-10,8.0
18033,8877,Male,Has relevent experience,Graduate,Other,6.0,>80,6-10,28.0
18629,3940,Male,Has relevent experience,Graduate,Other,7.0,>80,6-10,28.0
1908,16095,Male,Has relevent experience,Graduate,Other,7.0,>80,6-10,28.0
2923,24154,Male,No relevent experience,Graduate,Other,7.0,>80,6-10,82.0
6574,19250,Male,Has relevent experience,Graduate,Other,7.0,41-60,6-10,18.0
11962,20036,Male,Has relevent experience,Graduate,Other,7.0,20-40,6-10,13.0
9003,16924,Male,Has relevent experience,Masters,Other,7.0,20-40,6-10,13.0
3609,20626,Male,Has relevent experience,Graduate,Other,7.0,<20,6-10,8.0
9748,26734,Male,Has relevent experience,Graduate,Other,8.0,20-40,6-10,13.0
7478,6288,Male,Has relevent experience,Graduate,Other,8.0,<20,6-10,8.0
6972,19638,Male,Has relevent experience,Graduate,Other,9.0,>80,6-10,28.0
456,29991,Male,Has relevent experience,Graduate,Other,9.0,61-80,6-10,23.0
5231,24731,Male,Has relevent experience,Graduate,Other,9.0,61-80,6-10,23.0
14995,1305,Male,Has relevent experience,Graduate,Other,9.0,20-40,6-10,13.0
9960,12763,Female,Has relevent experience,Masters,Other,9.0,20-40,6-10,13.0
1618,14133,Male,Has relevent experience,Graduate,Other,9.0,20-40,6-10,13.0
16681,9424,Male,Has relevent experience,Graduate,Other,9.0,<20,6-10,8.0
1925,14380,Male,Has relevent experience,Graduate,Other,9.0,<20,6-10,8.0
9826,12968,Male,Has relevent experience,Graduate,Other,10.0,>80,11-20,36.0
3588,3934,Male,Has relevent experience,Graduate,Other,10.0,41-60,11-20,26.0
13580,7596,Male,Has relevent experience,Graduate,Other,10.0,41-60,11-20,26.0
16742,3330,Female,Has relevent experience,Masters,Other,10.0,20-40,11-20,21.0
