enrollee_id,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
29725,0.776,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,0
23853,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,0
25619,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
6588,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,>4,18,0
7041,0.776,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0
14928,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0
22293,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0
26494,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0
4866,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Early Stage Startup,2,206,0
25103,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Oct-49,Pvt Ltd,1,21,0
2195,0.666,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0
30533,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0
12253,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0
25296,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0
26516,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0
12731,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Oct-49,Pvt Ltd,1,29,0
22134,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0
31765,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0
5987,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0
21762,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0
28403,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Oct-49,Early Stage Startup,1,86,0
12081,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0
1180,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0
28627,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0
25349,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0
4789,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0
11338,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0
8571,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,NGO,2,101,0
20576,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0
18819,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0
14199,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0
10555,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0
16040,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0
13253,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,Oct-49,Pvt Ltd,2,109,0
15637,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0
24530,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0
1265,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0
24608,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0
24796,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0
3396,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0
7280,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0
16903,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0
26241,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0
3766,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0
30496,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0
7189,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0
3024,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0
3065,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0
32509,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0
10956,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0
26099,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0
9890,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0
32683,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0
31943,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0
33339,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,0
16814,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0
19249,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0
9475,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0
8528,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,0
6141,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0
28015,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0
399,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0
8751,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11,0
12509,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,0
15922,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44,0
28838,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74,0
1020,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,162,0
21933,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,11,0
20976,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,2,40,0
13152,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,1,96,0
22689,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,4,42,0
27064,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,2,94,0
9571,0.878,Male,No relevent experience,Part time course,Graduate,STEM,10,Oct-49,Early Stage Startup,1,25,0
30854,0.516,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,11,0
17519,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,2,113,0
31692,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,1,40,0
12934,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,19,500-999,Pvt Ltd,2,64,0
30400,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,51,0
12117,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,320,0
32534,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,1,74,0
2793,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Oct-49,Pvt Ltd,>4,166,0
25174,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,1,110,0
10102,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,never,107,0
15701,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,140,0
21218,0.939,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,10000+,Pvt Ltd,2,75,0
28033,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Early Stage Startup,1,182,0
1568,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,4,50,0
27866,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,31,0
24807,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,55,0
28229,0.776,Male,Has relevent experience,Part time course,Graduate,STEM,18,100-500,Funded Startup,>4,51,0
4162,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,2,22,0
2194,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,Funded Startup,1,19,0
1988,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,38,0
8540,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,52,0
1297,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,4,86,0
22517,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Public Sector,1,86,0
23505,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,>4,106,0
11751,0.836,Male,No relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,never,58,0
5340,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,never,109,0
9217,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Early Stage Startup,1,37,0
5673,0.89,Male,No relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,51,0
25421,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,1,84,0
20698,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,NGO,1,72,0
9515,0.92,Male,No relevent experience,no_enrollment,Graduate,Other,2,1000-4999,Public Sector,1,64,0
4642,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,NGO,1,8,0
16178,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,48,0
10529,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,<10,Pvt Ltd,1,102,0
32324,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,32,0
16414,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,1,53,0
32340,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Funded Startup,1,161,0
29217,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,67,0
25969,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,38,0
